Input,Actual
write a short story about a time traveler,Create a story of 100-150 words that details a time traveler’s adventure with clear narrative transitions.
summarize the plot of Romeo and Juliet,Deliver a 50-75 word summary focusing on the central conflict and tragic resolution in Romeo and Juliet.
create a class for a car in C++,"Write a C++ class named “Car” with attributes for make, model, and year, including a constructor to initialize these attributes."
explain the concept of polymorphism in object-oriented programming,"Provide a clear explanation of polymorphism, detailing how objects can take on multiple forms and benefit code reuse."
list the first 10 even numbers,Output a comma-separated list of the first 10 even numbers.
convert 5 miles to kilometers,Convert 5 miles using a standard conversion rate and output only the resulting number rounded to two decimal places.
find the fourth root of 16,Calculate the fourth root of 16 and output only the numerical result.
calculate the perimeter of a rectangle with length 7 and width 3,"Use the formula 2 * (length + width) to compute the perimeter, outputting only the numerical value."
what is the capital of Germany?,Return just the name of Germany’s capital city with no extra commentary.
"translate ""good morning"" to French",Output only the French translation of “good morning.”
write a short poem about winter,"Compose a 4-6 line poem that incorporates imagery such as snowflakes, cold winds, and quiet landscapes."
summarize the plot of Macbeth,"Provide a succinct 50-75 word summary of Macbeth focusing on ambition, betrayal, and tragedy."
create a function to subtract two numbers in Python,Write a Python function called “subtract” that takes two numerical arguments and returns their difference. Include a brief docstring.
explain the concept of dynamic programming,Describe dynamic programming in computer science with emphasis on overlapping subproblems and optimal substructure in clear terms.
list the first 15 prime numbers,Output the first 15 prime numbers separated by commas.
convert 50 GBP to USD,"Convert 50 British Pounds to US Dollars using an assumed realistic exchange rate, outputting only the numerical result rounded to two decimal places."
find the square root of 144,Calculate the square root of 144 and output only the resulting number.
what is the freezing point of water in Fahrenheit?,Return the freezing point of water in °F as a single numerical value with no extra text.
write a haiku about the moon,Compose a haiku with a 5-7-5 syllable structure that captures the mystique of the moon.
generate a random password with 16 characters,"Create a 16-character password using a mix of uppercase letters, lowercase letters, numbers, and symbols, outputting only the password."
"sort the following numbers in descending order: 12, 4, 19, 7, 3","Arrange the numbers 12, 4, 19, 7, 3 in descending order and output the sorted list separated by commas."
calculate 20% of 450,Compute 20% of 450 and output just the numerical result.
what is the population of Canada?,Return the approximate population of Canada as a single numerical value.
write a function to reverse an array in JavaScript,Write a JavaScript function named “reverseArray” that takes an array and returns the array in reverse order.
explain the difference between IPv4 and IPv6,Provide a concise explanation detailing how IPv4 and IPv6 differ in address structure and capacity.
list the moons of Jupiter,"Output the names of the major moons of Jupiter, separated by commas."
convert 212 degrees Fahrenheit to Celsius,Convert 212°F to Celsius and output only the numerical result rounded to two decimal places.
"find the largest number in the following list: 34, 67, 23, 89, 12",Identify the largest number in the list and output only that number.
what is the speed of sound?,Return the numerical value representing the speed of sound in meters per second at sea level.
write a short story about an astronaut,"Compose a short narrative of 100-150 words detailing an astronaut’s adventure, ensuring a clear, structured storyline."
summarize the theory of evolution,Provide a 50-75 word summary of Darwin’s theory of evolution focusing on natural selection and adaptation.
create a class for a book in Python,"Write a Python class called “Book” with attributes for title, author, and publication year, including a constructor for initialization."
explain the concept of encapsulation in object-oriented programming,"Describe encapsulation in OOP in clear, concise language, focusing on data hiding and interface exposure."
list the first 10 odd numbers,Output the first 10 odd numbers in a comma-separated list.
convert 15 kilometers to miles,Convert 15 km to miles using a standard conversion factor and output only the numerical result rounded to two decimal places.
find the cube root of 64,Calculate and output only the cube root of 64 as a single numeric value.
what is the chemical symbol for silver?,Return only the chemical symbol for silver (Ag).
write a limerick about a scientist,Compose a limerick (five-line poem with an AABBA rhyme scheme) focused on a scientist’s quirks and discoveries.
generate a random integer between 50 and 150,Output only a random integer within the inclusive range of 50 to 150.
"sort the following words alphabetically: zebra, apple, mango, banana",Alphabetically sort the provided words and output the sorted list separated by commas.
calculate the area of a parallelogram with base 6 and height 9,Compute the area using base * height and output only the numerical result.
what is the longest river in the world?,Return only the name of the longest river.
write a function to calculate the GCD of two numbers in Python,Write a Python function named “gcd” that takes two integers and returns their greatest common divisor.
explain the difference between synchronous and asynchronous programming,"Provide a concise explanation contrasting synchronous and asynchronous programming, highlighting the impact on process flow."
list the oceans of the world,Output all the ocean names as a comma-separated list.
convert 500 milliliters to liters,Convert 500 ml to liters and output only the numerical result.
"find the mean of the following list: 10, 20, 30, 40, 50",Calculate the arithmetic mean of the list and output just the resulting number.
what is the name of the largest desert on Earth?,Return only the name of the largest desert.
write a ballad about a knight,"Compose a narrative ballad with structured stanzas that tells a tale about a knight, following traditional poetic formats."
generate a random alphanumeric string of 10 characters,"Generate and output only a random 10-character string consisting of uppercase letters, lowercase letters, and numbers."
"sort the following dates in reverse chronological order: 2023-03-01, 2022-11-15, 2023-01-20",Rearrange the dates into reverse chronological order and output the sorted list separated by commas.
calculate the volume of a cylinder with radius 4 and height 10,Compute the volume using the formula pi * r^2 * h (with pi approximated to 3.14159) and output only the numerical result rounded to two decimal places.
what is the tallest building in the world?,Return only the name of the tallest building with no additional explanation.
write a function to calculate the Fibonacci sequence up to n terms in C++,Write a C++ function named “fibonacci” that takes an integer n and returns a vector containing the first n Fibonacci terms.
explain the difference between a binary tree and a binary search tree,"Provide a clear, concise explanation detailing the structural and operational differences between a binary tree and a binary search tree."
list the layers of the Sun,Output the layers of the Sun as a comma-separated list.
convert 2 kilograms to grams,Convert 2 kg to grams and output only the numerical result.
"find the variance of the following list: 3, 6, 9, 12, 15",Calculate the variance of the list and output only the numerical result rounded to two decimal places.
write the table of 3,"Output the multiplication table of 3 from 1 to 10 in this exact format: 3 x 1 = 3, 3 x 2 = 6, ..., 3 x 10 = 30, each on a new line."
calculate the area of a rectangle with length 8 and width 4,Compute the area using length * width and output only the numerical result.
solve for y: 3y - 7 = 11,Show each step to isolate y in the equation and then output the final numerical value.
what is the capital of Italy?,Return only the name of Italy’s capital city without additional information.
"translate ""thank you"" to German","Provide only the German translation of ""thank you."""
write a short poem about spring,"Compose a 4-6 line poem that incorporates themes of blooming flowers, renewal, and fresh air."
summarize the plot of Othello,"Provide a 50-75 word summary of Othello focusing on jealousy, manipulation, and tragedy."
create a function to multiply two numbers in Python,"Write a Python function named “multiply” that takes two numbers and returns their product, including a brief docstring explanation."
explain the concept of memoization,"Describe memoization in computer science in clear terms, focusing on caching results and improving efficiency."
list the first 20 Fibonacci numbers,Output a comma-separated list of the first 20 Fibonacci numbers.
convert 75 EUR to USD,"Convert 75 Euros to US Dollars using an assumed realistic exchange rate, outputting only the numerical result rounded to two decimal places."
find the square root of 256,Calculate the square root of 256 and output only the numerical result.
what is the boiling point of water in Kelvin?,Return only the boiling point of water in Kelvin as a numerical value.
write a haiku about the stars,Compose a haiku (5-7-5 syllable structure) that reflects the beauty of the stars.
generate a random password with 20 characters,"Create a random 20-character password that includes uppercase, lowercase, numbers, and symbols, outputting only the password."
"sort the following numbers in ascending order: 15, 3, 27, 8, 5",Arrange the numbers in ascending order and output the sorted list separated by commas.
calculate 25% of 600,Compute and output only the numerical result for 25% of 600.
what is the population of Brazil?,Return the approximate population of Brazil as a single numerical value.
write a function to check if a number is even in JavaScript,"Write a JavaScript function named “isEven” that returns True if a number is even, otherwise False."
explain the difference between a class and an object,Provide a succinct explanation highlighting how classes serve as blueprints while objects are instantiated from them.
list the moons of Saturn,"Output the names of the major moons of Saturn, separated by commas."
convert 100 degrees Celsius to Fahrenheit,Convert 100°C using the appropriate formula and output only the numerical value rounded to two decimal places.
"find the smallest number in the following list: 45, 23, 67, 12, 89",Identify and output only the smallest number from the provided list.
what is the speed of light in kilometers per second?,Return the numerical value of the speed of light in km/s with no additional text.
write a short story about a dragon,"Compose a story of 100-150 words about a dragon, ensuring a coherent narrative structure with a defined beginning, middle, and end."
summarize the theory of quantum mechanics,Provide a 50-75 word summary focusing on the main ideas of quantum behavior and uncertainty principles.
create a class for a student in Python,"Write a Python class called “Student” with attributes for name, age, and grade, along with an initializer."
explain the concept of abstraction in object-oriented programming,"Describe abstraction in OOP clearly and succinctly, emphasizing how it hides complex details behind simple interfaces."
list the first 10 multiples of 5,Output a comma-separated list of the first 10 multiples of 5.
convert 20 miles to kilometers,Convert 20 miles using a standard conversion factor and output only the numerical result rounded to two decimal places.
find the cube root of 125,Calculate and output only the cube root of 125 as a single numerical value.
what is the chemical symbol for hydrogen?,Return the symbol for hydrogen (H) with no additional text.
write a limerick about a teacher,Compose a limerick with an AABBA rhyme scheme themed around a teacher's humorous quirks.
generate a random integer between 1 and 500,"Output only a random integer between 1 and 500, inclusive."
"sort the following words alphabetically: orange, grape, apple, cherry",Alphabetically reorder the words and output the sorted list separated by commas.
calculate the area of a rhombus with diagonals 10 and 8,Compute the area using the formula 0.5 * diagonal1 * diagonal2 and output only the numerical result.
what is the largest lake in the world?,Return only the name of the largest lake without additional commentary.
write a function to calculate the LCM of two numbers in Python,Write a Python function named “lcm” that accepts two integers and returns their least common multiple.
explain the difference between procedural and object-oriented programming,"Provide a concise explanation contrasting procedural programming with object-oriented programming, highlighting key differences in structure and approach."
list the continents of the world,Output the list of continents as a comma-separated set of names.
convert 2500 milliliters to liters,Convert 2500 ml to liters and output only the resulting number.
"find the median of the following list: 5, 10, 15, 20, 25",Calculate and output only the median of the list.
what is the name of the Earth's largest satellite?,Return only the name of Earth’s largest satellite.
write a sonnet about friendship,"Compose a 14-line sonnet focusing on the theme of friendship, following a traditional rhyme scheme."
generate a random date in the year 2025,Output a random date in 2025 in the format YYYY-MM-DD.
"sort the following IP addresses numerically: 172.16.0.1, 192.168.0.1, 10.0.0.1",Order the IP addresses numerically and output the sorted list separated by commas.
"calculate the area of a triangle with sides 3, 4, and 5",Use Heron’s formula to compute the area and output only the numerical result rounded to two decimal places.
what is the deepest lake in the world?,Return only the name of the deepest lake with no additional information.
write a function to perform linear search in an array in Python,Write a Python function named “linearSearch” that returns the index of a target element in an array or -1 if not found.
explain the difference between symmetric and asymmetric encryption,Provide a concise explanation contrasting symmetric and asymmetric encryption focusing on key management and security properties.
list the layers of the Earth's atmosphere,Output the layers of the atmosphere as a comma-separated list.
convert 3 kilograms to grams,Convert 3 kg to grams and output only the numerical result.
"find the standard deviation of the following list: 1, 3, 5, 7, 9",Calculate the standard deviation for the list and output only the result rounded to two decimal places.
write a free verse poem about the ocean,Compose a free verse poem that reflects the vastness and mystery of the ocean without adhering to a strict structure.
generate a random hexadecimal color code,"Output a random hexadecimal color code (e.g., #A1B2C3) with no extra text."
"sort the following names alphabetically by last name: John Smith, Jane Doe, Robert Jones",Sort the names by last name and output the sorted list separated by commas.
calculate the perimeter of a rectangle with length 7 and width 3,Use the formula 2 * (length + width) to compute the perimeter and output only the numerical result.
what is the largest planet in our solar system?,Return only the name of the largest planet with no additional words.
write a function to check if a string is a palindrome in Java,"Write a Java function named “isPalindrome” that returns True if the given string is a palindrome, otherwise False."
explain the difference between a process and a thread,Provide a succinct explanation highlighting differences in resource allocation and execution context.
list the types of clouds,Output a comma-separated list of cloud types.
convert 1 liter to milliliters,Convert 1 liter to milliliters and output only the numerical result.
"find the range of the following list: 1, 2, 3, 4, 5",Calculate the range (difference between largest and smallest values) and output only the numerical result.
what is the name of the Earth's natural satellite?,Return only the name of Earth’s natural satellite without additional commentary.
write a sestina about time,Compose a sestina (a 39-line poem with repeated end-words) focusing on the concept of time.
generate a random date in the year 2023,Output a random date in 2023 in the format YYYY-MM-DD with no extra text.
"sort the following IP addresses numerically: 192.168.1.10, 192.168.1.2, 10.0.0.1",Order the IP addresses by their numerical value and output the sorted list separated by commas.
calculate the area of a trapezoid with bases 5 and 7 and height 4,Use the formula 0.5 * (base1 + base2) * height to compute the area and output only the numerical result.
what is the deepest point in the ocean?,Return only the name of the deepest point in the ocean with no extra commentary.
write a function to perform binary search in a sorted array in Python,"Write a Python function named “binarySearch” that takes a sorted array and target value, returning the index of the target or -1 if not found."
explain the difference between authentication and authorization,"Provide a clear, concise explanation highlighting how authentication verifies identity and authorization grants permissions."
list the layers of the atmosphere,Output the layers of the atmosphere as a comma-separated list.
convert 1 US gallon to liters,Convert 1 US gallon to liters and output only the numerical result rounded to two decimal places.
"find the standard deviation of the following list: 2, 4, 6, 8, 10",Calculate the standard deviation for the list and output only the value rounded to two decimal places.
write a function to check if a number is prime in Python,"Write a Python function called “isPrime” that returns True if the input is prime, else False, with clear logic and minimal commentary."
explain the difference between a linked list and an array,"Provide a brief explanation highlighting the key differences in structure, memory allocation, and usage between linked lists and arrays."
list the layers of the Earth,Output the different layers of the Earth as a comma-separated list.
convert 1000 grams to kilograms,Convert 1000 grams to kilograms and output only the numerical result.
"find the mode of the following list: 1, 2, 2, 3, 3, 3, 4",Identify the mode (most frequent number) in the list and output only that number.
what is the value of pi (π) to 5 decimal places?,Return the numerical value of pi to five decimal places with no extra text.
write a free verse poem about the ocean,Compose a free verse poem focusing on the imagery and emotion evoked by the ocean without strict structural constraints.
generate a random hexadecimal color code,"Output only a valid random hexadecimal color code (e.g., #3F7A9C)."
"sort the following names alphabetically by last name: John Smith, Jane Doe, Robert Jones",Sort the names by last name and output only the sorted list separated by commas.
calculate the perimeter of a rectangle with length 7 and width 3,Compute the perimeter using 2 * (length + width) and output only the numerical result.
what is the largest planet in our solar system?,Return only the name of the largest planet with no additional commentary.
write a function to check if a string is a palindrome in Java,"Write a Java function “isPalindrome” that returns True if the string is a palindrome, else False."
explain the difference between a process and a thread,"Offer a succinct explanation of the differences, focusing on context switching and resource allocation."
list the types of clouds,Output a comma-separated list of cloud types.
convert 1 liter to milliliters,Convert 1 liter to milliliters and output only the numerical value.
"find the range of the following list: 1, 2, 3, 4, 5",Calculate the range (difference between maximum and minimum) and output only the result.
what is the name of the Earth's natural satellite?,Return the name of Earth’s natural satellite as a single word.
write a sestina about time,Compose a 39-line sestina with repeating end-words that explores the theme of time in depth.
generate a random date in the year 2023,Output a random date in the format YYYY-MM-DD within the year 2023.
"sort the following IP addresses numerically: 192.168.1.10, 192.168.1.2, 10.0.0.1","Order the IP addresses numerically and output the sorted list, separated by commas."
calculate the area of a trapezoid with bases 5 and 7 and height 4,Compute the area using 0.5 * (base1 + base2) * height and output only the numerical result.
what is the deepest point in the ocean?,Return only the name of the deepest ocean point with no extra text.
write a function to perform binary search in a sorted array in Python,"Write a Python function “binarySearch” that takes a sorted array and a target, returning the index or -1 if not found."
explain the difference between authentication and authorization,"Provide a short, clear comparison between authentication and authorization, emphasizing identity verification versus access control."
list the layers of the atmosphere,Output the layers of the atmosphere as a comma-separated list with no additional commentary.
list the layers of the atmosphere,"Output the multiplication table for 2 from 1 to 10. For each integer from 1 to 10, display an expression in the exact format ""2 x [number] = [result]"". Steps: interpret the command, identify the base number (2) and the multiplier range, calculate each product, and output each expression on a new line with exact spacing and punctuation."
Generate the multiplication table for 3.,"Output the multiplication table for 3 from 1 to 10. Write each multiplication as ""3 x 1 = 3"", ""3 x 2 = 6"", etc. Steps: parse the base number (3), iterate multipliers from 1 to 10, compute the product, and list every result line by line."
Generate the multiplication table for 4.,"Output the multiplication table for 4 from 1 to 10 with each line in the format ""4 x [n] = [result]"". Steps: recognize the instruction, loop numbers 1-10, compute 4*n, and print each result on its own line with exact spaces and symbols."
Generate the multiplication table for 5.,"Output the multiplication table for 5 from 1 to 10. Each multiplication should be formatted as ""5 x 1 = 5"", ""5 x 2 = 10"", etc. Steps: interpret the task, parse the multiplier range, calculate each multiplication, and output each computation on a separate line with strict formatting."
Generate the multiplication table for 6.,"Output the multiplication table for 6 from 1 to 10. Display each line in the exact format ""6 x [multiplier] = [result]"". Steps: identify the base number, iterate through multipliers 1 to 10, calculate the product, and output every step on a new line without deviation."
Generate the multiplication table for 7.,"Output the multiplication table for 7 from 1 to 10, ensuring each line is formatted as ""7 x 1 = 7"", ""7 x 2 = 14"", etc. Steps: understand the instruction, determine the multiplication sequence, compute each product, and list them one per line with exact punctuation."
Generate the multiplication table for 8.,"Output the multiplication table for 8 from 1 to 10 in the exact format ""8 x n = result"" for each line. Steps: parse the number 8 as the base, iterate multipliers from 1 to 10, compute the product, and output the multiplication statement for each step with precise spacing."
Generate the multiplication table for 9.,"Output the multiplication table for 9 from 1 to 10 with each expression written as ""9 x [n] = [result]"". Steps: parse the input, identify the range 1-10, calculate each multiplication, and print each result on a separate line strictly following the required format."
Generate the multiplication table for 10.,"Output the multiplication table for 10 from 1 to 10. Each line must be formatted exactly as ""10 x [multiplier] = [result]"". Steps: interpret the command, determine the multiplication range, compute 10*n, and display each result on its own line with exact punctuation and spacing."
Generate the multiplication table for 11.,"Output the multiplication table for 11 from 1 to 10 in the exact format ""11 x [n] = [result]"" on separate lines. Steps: parse the base number, set the iteration from 1 through 10, compute each multiplication, and output the results with precise formatting."
Generate an addition sequence adding 5 to numbers 1 through 10.,"Output a list from 1 to 10 where each line is formatted as ""[number] + 5 = [result]"". Steps: interpret the instruction, iterate numbers 1 through 10, add 5 to each, and output the arithmetic expression line-by-line with exact spacing and punctuation."
Generate a subtraction sequence from 20 subtracting values 1 through 10.,"Output each line as ""20 - [n] = [result]"" for n from 1 to 10. Steps: parse the number 20, iterate through subtrahends 1-10, compute each subtraction, and display every result on a new line in the exact format."
Generate a list of the first 10 even numbers.,"Output a list where each line displays one even number, starting from 2 up to 20. Steps: determine the even number sequence, calculate each even number in order, and output each number on a separate line with no additional formatting."
Generate a list of the first 10 odd numbers.,"Output a list where each line shows one odd number starting from 1 up to 19. Steps: interpret the instruction for odd numbers, generate the sequence, and display each number on its own line with exact formatting."
Generate a list of the first 10 prime numbers.,"Output a list where each line contains one prime number in sequential order starting from 2. Steps: identify the prime sequence, ensure each number is prime, and display all 10 numbers on separate lines with exact spacing."
"Convert the sentence ""Hello World"" to uppercase.","Output the sentence in all uppercase letters exactly as ""HELLO WORLD"". Steps: parse the sentence, convert every character to uppercase, and output the result with no additional formatting or punctuation changes."
"Convert the sentence ""Good Morning"" to lowercase.","Output the sentence in all lowercase letters exactly as ""good morning"". Steps: parse the input, convert each character to lowercase, and output the transformed sentence on a single line with exact spacing."
Format a shopping list with 5 items.,"Output a list of 5 shopping items, one per line, each preceded by a dash (e.g., ""- Milk""). Steps: determine the list items, ensure each item is on its own line, and format each line with a dash and a space exactly as specified."
Create a to-do list with five tasks.,"Output a numbered list of five tasks where each line follows the format ""Task [number]: [description]"". Steps: interpret the instruction, list five distinct tasks, number them sequentially, and output each entry on a separate line with the exact format."
Format a numbered list of the top 5 programming languages.,"Output a list where each line follows ""1. [Language]"" up to ""5. [Language]"". Steps: parse the instruction, select five languages, number each entry sequentially, and ensure each line strictly follows the ""number. space language"" format."
Generate the multiplication table for 12.,"Output the multiplication table for 12 from 1 to 10 in the exact format ""12 x [n] = [result]"". Steps: identify the number 12, iterate from 1 to 10, compute each multiplication, and provide the result on a new line, ensuring correct spacing and punctuation."
Generate a division table for 10 divided by numbers 1 to 10.,"Output each line as ""10 ÷ [n] = [result]"" with each division computed exactly to integer or decimal precision as applicable. Steps: parse the instruction, iterate through divisors 1-10, calculate and format the output line-by-line with exact symbols and spacing."
Generate a factorial calculation for 5.,"Output a step-by-step breakdown where each line shows the multiplication leading to 5! formatted as ""Step [n]: [partial multiplication] = [result]"". Steps: parse the number 5, list sequential multiplication steps from 1 to 5, calculate partial results, and output each step on a new line with exact formatting."
Compute and list the squares of numbers 1 through 10.,"Output each line showing ""Square of [n] = [n*n]"" for n from 1 to 10. Steps: interpret the instruction, iterate through numbers 1 to 10, compute each square, and output the expression on its own line with precise formatting."
Compute and list the cubes of numbers 1 through 10.,"Output each line as ""Cube of [n] = [n³]"" for n from 1 to 10. Steps: interpret the instruction, compute each cube value, and display each calculation on a separate line exactly as specified."
Generate a countdown from 10 to 1.,"Output each line as a number in descending order from 10 to 1. Steps: parse the instruction, generate the countdown sequence, and output each number on its own line in descending order with no extra formatting."
Generate a Fibonacci sequence with 10 terms.,"Output each line with one Fibonacci number, starting with 0 and 1 per the standard sequence until 10 terms are reached. Steps: interpret the Fibonacci sequence, calculate each term, and output each term on a separate line with exact formatting."
Generate a calendar month layout for January.,"Output a formatted list showing ""January [date]: [day]"" for each day, ensuring each entry is on a new line with proper spacing. Steps: parse the instruction, generate dates and corresponding weekday names, and output each as a separate, well-formatted line."
Format a short poem with 4 lines.,"Output a poem with 4 distinct lines. Steps: interpret the phrase ""line by line"", create 4 poetic lines, and output each on its own line with no numbering or markdown formatting."
Format a motivational quote with an author attribution.,"Output two lines: the first line with the quote in quotation marks, and the second line with a dash followed by the author's name. Steps: parse the instruction, clearly separate the quote and attribution, and output exactly in the two prescribed lines."
Generate a Celsius to Fahrenheit conversion table for temperatures 0 to 100 with steps of 10.,"Output each line in the format ""Celsius [temp]°C = [result]°F"" for temperatures 0, 10, 20, …, 100. Steps: interpret the conversion formula, compute each Fahrenheit value, and output each conversion on its own line with exact spacing."
Generate a formatted phone number from given digits.,"Output the phone number in the exact format ""(XXX) XXX-XXXX"". Steps: parse the input digits, format them accordingly by grouping the digits as specified, and output the formatted phone number on a single line."
Create an aligned list of common fruits.,"Output each fruit on a separate line, aligned to the left without extra spaces, using the exact fruit names. Steps: interpret the instruction, list the fruits, and ensure each entry is on its own line with consistent start positions."
Create a formatted recipe list with ingredients and quantities.,"Output each line as ""Ingredient: [name], Quantity: [amount]"" for each ingredient. Steps: parse the instruction, break down each ingredient and its quantity, and output every entry on its own line with exact punctuation and formatting."
Generate the multiplication table for 15.,"Output the multiplication table for 15 from 1 to 10, with each line formatted as ""15 x [n] = [result]"". Steps: parse the instruction, iterate through multipliers 1 to 10, compute the product, and output each line with exact spacing and punctuation."
Generate a daily routine task list.,"Output a numbered list of tasks where each line is formatted as ""Task [n]: [description]"". Steps: interpret the instruction, list a minimum of five daily tasks, number them sequentially, and output each on a new line with exact formatting."
Convert a list of numbers into ordinal form.,"Output each line converting a cardinal number (e.g., 1) to its ordinal representation (e.g., ""1st""). Steps: parse the list, convert each number with proper ordinal suffix, and output each result on a separate line with exact formatting."
Generate a chapter index list for 5 chapters.,"Output each line in the format ""Chapter [number]: [Title]"" for chapters 1 through 5. Steps: read the instruction, create 5 unique chapter titles, and output each index line on a new line with precise punctuation and spacing."
Create a bullet list of emergency contacts.,"Output each contact on a separate line preceded by a bullet point (e.g., ""• Contact Name: [name], Phone: [number]""). Steps: parse the instruction, generate a list of at least three contacts, and format each with a bullet and exact punctuation."
Create a text-based meeting schedule.,"Output each line as ""Time - Topic"" ensuring proper alignment and spacing (e.g., ""09:00 - Opening Remarks""). Steps: interpret the instruction, list the meeting times and topics sequentially, and output exactly as described on separate lines."
Generate a random number sequence from 1 to 10.,"Output each line as a random number between 1 and 10, ensuring no format other than one number per line. Steps: interpret the instruction, generate each random number, and output the sequence line-by-line with exact spacing."
Generate a list of squared values for numbers 1 through 10.,"Output each line in the format ""[n] squared = [n*n]"". Steps: parse the request, iterate through the numbers 1 to 10, compute the square for each, and output each calculation on its own line with exact punctuation."
Format a poem as an acrostic with specific letters.,"Output each line such that the first letter of each line spells out a given word (e.g., ""HOPE""). Steps: interpret the acrostic structure, ensure every line starts with the correct letter, and output each line on a new line with exact formatting."
Generate an ASCII art border around a given phrase.,"Output the phrase surrounded by a border made of characters (e.g., asterisks), ensuring the border width fits the text exactly. Steps: interpret the instruction, calculate border length, and output multiple lines (top, text line, bottom) with precise spacing."
Create a list of weekdays.,"Output each weekday's full name (Monday, Tuesday, etc.) on a separate line. Steps: interpret the instruction, list all seven days starting with Monday, and format each on its own line with exact spelling and spacing."
Create a list of weekend days.,"Output the names of the weekend days (""Saturday"" and ""Sunday"") each on a separate line. Steps: parse the instruction, list the two days, and output each exactly as specified with correct spacing."
Convert a numbered list into a comma-separated string.,"Output the list items as a single line, separated by commas and a space. Steps: parse the numbered list, reformat by joining items with "", "", and output exactly as described."
Create a formatted address block.,"Output multiple lines with the format: ""Name: [name]"", ""Street: [street]"", ""City: [city]"". Steps: interpret the instruction, assign values to each field, and output each line exactly with proper punctuation and spacing."
Create a shopping receipt with itemized prices.,"Output each line as ""Item: [name], Price: [amount]"" and a final total line summing up the amounts. Steps: parse the list of items, format each line accordingly, compute a total, and output every calculated line with precise formatting."
Generate a bank statement summary.,"Output each line as ""Transaction [n]: [description] - $[amount]"" ensuring all fields are clearly separated. Steps: interpret the instruction, list several transactions, compute a running total if applicable, and format each transaction exactly as specified."
Generate a Fibonacci sequence list with explanations.,"Output each line as ""Term [n]: [Fibonacci number] – calculated as [explanation]"". Steps: interpret the instruction, compute each Fibonacci number, generate a brief explanation per term, and output each line with exact spacing and punctuation."
Create a command list for a fictional robot.,"Output each line as ""Command [n]: [instruction]"" where each command indicates a specific robotic action. Steps: parse the instruction, create 5 to 7 distinct commands, number them sequentially, and output each on a new line with exact formatting."
Generate a poem with exactly 5 distinct instructional lines.,"Output a 5-line poem where each line conveys a clear step or message. Steps: interpret the instruction, ensure each line is unique, verify that there are exactly 5 lines, and output each with exact spacing."
Create a detailed step-by-step instruction for boiling an egg.,"Output each line as ""Step [n]: [instruction]"" detailing each stage from preparation to cooling. Steps: breakdown the process into at least 5 steps, assign sequential numbering, and output each line with precise punctuation and spacing."
Generate a detailed breakdown of a phone dialing process.,"Output each line as ""Step [n]: [action]"" showing each part of dialing a phone number. Steps: interpret the instruction, list each sub-step (e.g., pick up phone, enter number, press call), and output each step on a new line with exact formatting."
Format a one-day conference schedule.,"Output each line as ""Time - Session Title"" for each event throughout the day. Steps: interpret the instruction, list time slots with corresponding sessions, and output each line on its own with exact punctuation and spacing."
Generate a task list sorted by priority in descending order.,"Output each line as ""Priority [level]: [task]"" starting with the highest priority. Steps: parse the instruction, order tasks by priority, and print each on a separate line with exact formatting."
Create a seating plan for 10 people.,"Output each line as ""Seat [n]: Person [name or number]"" for seats 1 to 10. Steps: interpret the instruction, assign labels from 1 to 10, and display each seat assignment on its own line with exact punctuation and spacing."
"Create a structured restaurant menu with starters, main course, and dessert.","Output three sections labelled ""Starters:"", ""Main Course:"", and ""Dessert:"" followed by a list of items under each. Steps: parse the instruction, group items under each header, and output every line with exact formatting and proper alignment."
Format a workout routine with sets and repetitions.,"Output each line as ""Exercise [name]: [sets] sets of [reps] reps"". Steps: interpret the instruction, list different workouts, and output each line with exact formatting and spacing."
Generate a breakdown of a car maintenance schedule.,"Output each line as ""Service [n]: [maintenance task] on [part]"" with sequential numbering. Steps: parse the instruction, list distinct maintenance tasks, and output each on its own line with precise formatting."
Create a checklist of 5 tasks with their completion status.,"Output each line as ""Task [n]: [description] – [Complete/Incomplete]"". Steps: interpret the instruction, list 5 tasks, assign a status to each, and output each on a new line with exact punctuation and spacing."
Generate a list of coordinates using a given formula.,"Output each line as ""Point [n]: (x: [value], y: [value])"" where values follow a predictable sequence. Steps: interpret the instruction, compute x and y values for each point, and output each line with precise formatting."
Format a list of bank account transactions.,"Output each transaction on a new line in the format ""Date: [date], Description: [text], Amount: $[value]"". Steps: parse the instruction, generate several transaction entries, and output each with exact punctuation and spacing."
Generate a list of percentage discounts.,"Output each line as ""Item [n]: [original price] with discount [percentage]% = [discounted price]"". Steps: interpret the instruction, calculate the discounts, and output each step-by-step calculation on separate lines with exact formatting."
Create a formatted currency conversion list.,"Output each line as ""Currency: [code] - [amount] converts to [converted amount]"" for each entry. Steps: parse the instruction, list currencies with values, perform conversion calculations, and output each line with exact punctuation and spacing."
Format a weather data report.,"Output each line as ""Time: [time], Temperature: [value]°C, Condition: [description]"". Steps: interpret the instruction, list several time-stamped weather readings, and output each on a new line with strict formatting."
Format a travel itinerary with destinations and times.,"Output each line as ""Time: [time] - Destination: [location]"" ensuring clarity and correct spacing. Steps: parse the instruction, create a sequence of travel events, and output each line with precise formatting."
Generate a list of movie ratings for the top 10 films.,"Output each line as ""Film [n]: [Title] – Rating: [score]/10"". Steps: interpret the instruction, assign a ranking from 1 to 10, and output each movie entry on its own line with exact punctuation."
